Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200305,S92000003,Scotland,2,15,0.27442371020856204,0.27442371020856204,0,0,0,180,1627,29.765825100622028,266,8,3.007518796992481,2.255109231853418,266,0,NA,NA,NA,:,8,0
20200306,S08000015,NHS Ayrshire and Arran,0,1,0.27174651485094703,0.27174651485094703,0,0,0,7,94,25.544172395989023,13,0,0,2.3529411764705883,13,0,NA,:,NA,:,0,0
20200306,S08000016,NHS Borders,0,0,0,0,0,0,0,4,41,35.57792433182922,5,0,0,0,5,0,NA,:,NA,:,0,0
20200306,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,17,78,52.599635848674886,19,0,0,0,19,0,NA,:,NA,:,0,0
20200306,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,15,145,47.396463243225575,38,2,5.263157894736842,5.161290322580645,38,0,NA,:,NA,:,2,0
20200306,S08000020,NHS Grampian,0,4,0.6831184356587824,0.6831184356587824,0,0,0,5,136,23.226026812398597,11,1,9.090909090909092,8.974358974358974,11,0,NA,:,NA,:,1,0
20200306,S08000022,NHS Highland,0,0,0,0,0,0,0,8,68,21.193043695069505,8,0,0,0,8,0,NA,:,NA,:,0,0
20200306,S08000024,NHS Lothian,2,3,0.3287707262545343,0.3287707262545343,0,0,0,26,351,38.46617497178052,37,3,8.108108108108109,2.2123893805309733,37,0,NA,:,NA,:,3,0
20200306,S08000025,NHS Orkney,0,0,0,0,0,0,0,2,7,31.25,2,0,0,0,2,0,NA,:,NA,:,0,0
20200306,S08000026,NHS Shetland,2,2,8.745080891998251,NA,0,0,0,0,2,8.745080891998251,2,2,100,NA,2,0,NA,:,NA,:,2,0
